nom;adresse;telephone;lat;lon
Ecole élémentaire;Rue de Neudelange, 57920 Aboncourt;03 82 81 89 23;49.25791968265228;6.3478499238538815
Ecole maternelle;Rue de Neudelange, 57920 Aboncourt;03 82 81 89 23;49.257751992502705;6.3478294321384405
Groupe Scolaire Alexandre Chatrian;2 place des Passeurs, 57560 Abreschviller;03 87 03 74 12;48.6359253038532;7.095299547383742
Ecole primaire;10 rue rue du haut poirier, 57412 Achen;03 72 29 14 31;49.045397351574;7.180463955414336
Ecole primaire intercommunale;30 route de Boustroff, 57380 Adelange;03 87 91 57 47;49.003217914442686;6.617249753516517
Ecole maternelle;23 rue du Château, 57670 Albestroff;09 67 41 69 64;48.933001432066504;6.85590975228044
Ecole élémentaire de La Mairie;23 rue Maréchal Foch, 57440 Algrange;03 82 84 31 66;49.36112427291759;6.049989660601799
Ecole maternelle Lorraine;Rue de Lorraine, 57440 Algrange;03 82 85 62 32;49.36043799794755;6.047169821663321
Ecole primaire Batzenthal;1 rue DES COQUELICOTS, 57440 Algrange;03 82 84 33 45;49.37092772536631;6.059340401251297
Ecole primaire Wilson;37 rue DU PRESIDENT WILSON, 57440 Algrange;03 82 84 31 22;49.35560160934576;6.046651234586622
Ecole primaire Pasteur;Place de l'Etzel, 57515 Alsting;03 87 99 15 15;49.179550235401244;6.99948986644954
Ecole primaire;Impasse DE l'ECOLE, 57730 Altviller;03 87 94 67 58;49.073007043139064;6.7309796132507
Ecole élémentaire;16 rue de Château Rouge, 57320 Alzing;03 87 78 21 18;49.278276634327646;6.554349986808345
Ecole primaire;13 rue DES JARDINS, 57865 Amanvillers;06 24 78 68 09;49.168236205555395;6.042613555282411
Ecole élémentaire Centre du Parc;Rue Emile Zola, 57360 Amnéville;03 87 71 24 78;49.255632053993125;6.14144941726079
Ecole maternelle Clémenceau;3 rue Charles Péguy, 57360 Amnéville;03 87 71 02 78;49.258894908858274;6.137660199039842
Ecole maternelle de La Cimenterie;26 rue des Ecoles, 57360 Amnéville;03 87 67 16 46;49.25424902947192;6.12147016320909
Ecole maternelle l'Ile aux enfants;Rue de l'Usine, 57360 Amnéville;03 87 71 13 14;49.25887136086327;6.144780461846443
Ecole maternelle La Forêt;Rue Schuman, 57360 Amnéville;03 87 71 16 17;49.25328122447193;6.1397203732627155
Ecole primaire Charles Peguy;Rue Charles Péguy, 57360 Amnéville;03 87 71 12 96;49.25970990724789;6.1376299782894055
Ecole primaire Malancourt La Montagne JULES FERRY;9 rue Jules Ferry, MALANCOURT LA MONTAGNE, 57360 Amnéville;03 87 53 53 79;49.22115626924704;6.058860297869996
Ecole élémentaire;Rue Saint-Michel, 57580 Ancerville;09 67 01 69 33;49.03095475787346;6.390479883377185
Ecole Primaire Les Coteaux;10 rue Lemal Perrin, 57130 Ancy-Dornot;03 87 30 92 50;49.056943345915144;6.06003973573962
Ecole élémentaire;60 rue des Ecoles, 57440 Angevillers;03 82 59 25 25;49.387536993069546;6.040609610643885
Ecole maternelle;171 route de Havange, 57440 Angevillers;03 82 91 71 24;49.38776411581724;6.040949588242805
Ecole primaire;146 rue de Lilette, 57320 Anzeling;03 87 69 10 43;49.27177695542536;6.453603217627369
Ecole primaire;38 rue de l'Ecole, 57480 Apach;03 82 83 67 26;49.460957194720365;6.3784502130462775
Ecole élémentaire Erckmann-Chatrian;52 rue de Bussière, 57640 Argancy;03 87 77 84 79;49.18972401487824;6.199410354182513
Ecole élémentaire privée Marcel Van;7 place Anne de Méjanès, 57640 Argancy;07 83 74 75 08;49.19600140851942;6.200979410645256
Ecole maternelle Erckmann-Chatrian;52 rue de Bussière, 57640 Argancy;03 87 77 73 70;49.18995609099159;6.1996498461069205
Ecole élémentaire;68 rue Principale, 57580 Arriance;03 87 01 08 15;49.017040146308844;6.496210043118739
Ecole primaire;4 bis rue Principale, 57530 Ars-Laquenexy;03 87 38 19 04;49.092033051465975;6.267020659544068
Ecole primaire Val de Mance;11 rue Poincaré, BP 20047, 57132 Ars-sur-Moselle;03 87 60 96 31;49.077243700598096;6.076019832023014
école primaire du petit sentier;17 rue de l'Eglise, 57405 Arzviller;03 87 07 96 67;48.71340211130848;7.161570368493169
Ecole maternelle;Rue Principale, 57260 Assenoncourt;03 87 03 94 08;48.771130982287595;6.799090331218095
Ecole élémentaire;35 rue Principale, 57580 Aube;03 87 64 54 05;49.0269924000773;6.336909976717137
Ecole élémentaire La Dell;136 rue de la Meuse, 57390 Audun-le-Tiche;03 82 52 13 01;49.47397081962475;5.942230243130215
Ecole élémentaire Marie Curie;7 rue Leclerc, 57390 Audun-le-Tiche;03 82 52 13 44;49.469520640142115;5.956779756703942
Ecole maternelle Francbois;Rue des Bosquets, 57390 Audun-le-Tiche;03 82 52 23 55;49.47879360825111;5.964830197524543
Ecole maternelle La Dell;136 rue de la Meuse, 57390 Audun-le-Tiche;03 82 91 21 11;49.47397081962475;5.942230243130215
Ecole maternelle Mandelot;22 rue de l'Etang, 57390 Audun-le-Tiche;03 82 52 13 37;49.46777723081664;5.951670024602643
Ecole primaire Centre Rousseau;10 rue MARECHAL FOCH, 57390 Audun-le-Tiche;03 82 52 13 46;49.47271804346788;5.9572202811693264
Ecole primaire Le Patural;6 rue DE L'EGLISE, 57685 Augny;03 56 12 73 25;49.05870521997277;6.120673738775948
Ecole élémentaire des Armoises;57 rue du Château, 57590 Aulnois-sur-Seille;03 87 01 43 94;48.869522256227754;6.31415940865377
Groupe Scolaire Marie Curie;5 rue du Cimetière, 57710 Aumetz;03 82 91 89 55;49.419766660756416;5.941559330664979
Ecole primaire Fernand Charlier;216 rue du Temple, 57810 Avricourt;03 87 24 72 17;48.652658007317946;6.820059467976343
Ecole primaire;11 RUE DES BRIGUELES, 57300 Ay-sur-Moselle;03 87 73 08 16;49.24210864645498;6.208639754039921
Ecole primaire;6 rue de l'Ecole, 57230 Baerenthal;03 87 06 57 04;48.9787886400607;7.518050539382873
Ecole primaire J.P. Albert;21 rue des Prés, 57690 Bambiderstroff;03 87 90 32 43;49.10296549539923;6.590619599454356
Ecole élémentaire La Fontaine;27 rue des Ecoles, 57340 Baronville;03 87 86 17 28;48.93525007341028;6.61010045823628
Ecole maternelle les P'tits Loups;2 rue des Ecoles, 57340 Baronville;03 87 05 16 78;48.93355235832209;6.609650548579892
Ecole maternelle Marienthal;512 route de Strasbourg, 57450 Barst;03 87 89 20 08;49.08752322398739;6.816100492002092
Ecole élémentaire Jean Monnet;Rue de la Mairie, 57970 Basse-Ham;03 82 82 42 66;49.38603898355415;6.244250067109419
Ecole maternelle Saint-Louis;7 chemin des Ecoliers, 57970 Basse-Ham;03 82 56 23 82;49.37473226858037;6.239600647889393
Ecole primaire Jules Verne;10 A rue DE L'EGLISE, 57570 Basse-Rentgen;03 82 83 48 33;49.48364261659167;6.1993701071088365
Ecole élémentaire du marronnier;37 rue de Courten, 57530 Bazoncourt;03 87 64 69 25;49.050951462997354;6.367819760337706
Ecole primaire de BECHY;39 rue Charles de Gaulle, 57580 Béchy;03 87 64 83 28;48.985546502815986;6.378179503740085
Ecole primaire Centre Pasteur;1 rue de la Fontaine, 57460 Behren-lès-Forbach;03 87 87 27 15;49.16574295431025;6.942979595760648
Ecole primaire Erckmann-Chatrian;Rue Erckmann-Chatrian, 57460 Behren-lès-Forbach;03 87 87 30 93;49.17206478499764;6.931400572568624
Ecole primaire publique Berlioz;Rue Saint Blaise, 57460 Behren-lès-Forbach;03 87 87 23 27;49.17552044084773;6.936689704456718
Ecole Elémentaire Bisping;Rue Principale, 57930 Belles-Forêts;03 87 86 54 04;48.80519858042868;6.8938704757614095
Ecole primaire Eugène Genay;19 rue des Jardins, 57670 Bénestroff;09 62 09 06 11;48.90521871681767;6.76264005912315
Ecole Elémentaire Paul Verlaine;Rue Principale, 57800 Béning-lès-Saint-Avold;03 87 04 01 67;49.137586332227414;6.839230389943018
Ecole maternelle;18 rue Principale, 57800 Béning-lès-Saint-Avold;03 87 04 49 47;49.13842029684976;6.8391605342256
Ecole élémentaire;2 place de l'Eglise, 57370 Berling;03 87 08 05 07;48.800220481164516;7.239809836600338
Ecole primaire;123 rue Principale, 57930 Berthelming;03 87 07 88 29;48.81712596376221;7.006779672243125
Groupe scolaire Simone Veil;21 rue Saint-Rémy, 57310 Bertrange;03 82 50 75 99;49.31331545434116;6.196659456372397
Ecole élémentaire;32 GRAND'RUE GRANDE RUE, 57930 Bettborn;03 87 07 81 96;48.80154801518242;7.020870403479036
Ecole primaire;11 RUE DE L'ECOLE, 57640 Bettelainville;03 87 77 93 80;49.233306409253814;6.300860211165462
Ecole Elémentaire Jean de La Fontaine;4 rue de l'Ecole, 57800 Betting;03 87 04 86 56;49.12930820566748;6.814240680774847
Ecole maternelle Jean de La Fontaine;4 rue de l'Ecole, 57800 Betting;03 87 00 36 84;49.12933892928083;6.813839676709873
école primaire Jean Gutenberg;32 rue des Jardins, 57410 Bettviller;03 87 09 90 38;49.07415741278331;7.273669992888356
